Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed
2542,1/6/2020,Maharashtra,29329,2286,67655
2578,2/6/2020,Maharashtra,30108,2362,70013
2614,3/6/2020,Maharashtra,31333,2465,72300
2650,4/6/2020,Maharashtra,32329,2587,74860
2686,5/6/2020,Maharashtra,33681,2710,77793
2722,6/6/2020,Maharashtra,35156,2849,80229
2758,7/6/2020,Maharashtra,37390,2969,82968
2794,8/6/2020,Maharashtra,39314,3060,85975
2830,9/6/2020,Maharashtra,40975,3169,88528
2866,10/6/2020,Maharashtra,42638,3289,90787
2903,11/6/2020,Maharashtra,44517,3438,94041
2939,12/6/2020,Maharashtra,46078,3590,97648
2975,13/06/20,Maharashtra,47796,3717,101141
3011,14/06/20,Maharashtra,49346,3830,104568
3047,15/06/20,Maharashtra,50978,3950,107958
3083,16/06/20,Maharashtra,56049,4128,110744
3119,17/06/20,Maharashtra,57851,5537,113445
3155,18/06/20,Maharashtra,59166,5651,116752
3191,19/06/20,Maharashtra,60838,5751,120504
3227,20/06/20,Maharashtra,62773,5893,124331
3263,21/06/20,Maharashtra,64153,5984,128205
3299,22/06/20,Maharashtra,65744,6170,132075
3335,23/06/20,Maharashtra,67706,6283,135796
3371,24/06/20,Maharashtra,69631,6531,139010
3407,25/06/20,Maharashtra,73792,6739,142900
3443,26/06/20,Maharashtra,77453,6931,147741
3479,27/06/20,Maharashtra,79815,7106,152765
3515,28/06/20,Maharashtra,84245,7273,159133
3551,29/06/20,Maharashtra,86575,7429,164626
3587,30/06/20,Maharashtra,88960,7610,169883
