Sno,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
2553,1/6/2020,8:00 AM,Telengana,1428,82,2698
2589,2/6/2020,8:00 AM,Telengana,1491,88,2792
2625,3/6/2020,8:00 AM,Telengana,1526,92,2891
2661,4/6/2020,8:00 AM,Telengana,1556,99,3020
2697,5/6/2020,8:00 AM,Telengana,1587,105,3147
2733,6/6/2020,8:00 AM,Telengana,1627,113,3290
2769,7/6/2020,8:00 AM,Telengana,1710,123,3496
2805,8/6/2020,8:00 AM,Telengana,1710,123,3580
2841,9/6/2020,8:00 AM,Telengana,1710,137,3650
2877,10/6/2020,8:00 AM,Telengana,1809,148,3920
2914,11/6/2020,8:00 AM,Telengana,1817,156,4111
2950,12/6/2020,8:00 AM,Telangana,1993,165,4320
2986,13/06/20,8:00 AM,Telangana,2278,174,4484
3022,14/06/20,8:00 AM,Telangana,2352,182,4737
3058,15/06/20,8:00 AM,Telangana,2377,185,4974
3094,16/06/20,8:00 AM,Telangana,2766,187,5193
3130,17/06/20,8:00 AM,Telangana,3027,191,5406
3166,18/06/20,8:00 AM,Telangana,3071,192,5675
3202,19/06/20,8:00 AM,Telangana,3301,195,6027
3238,20/06/20,8:00 AM,Telangana,3353,198,6526
3274,21/06/20,8:00 AM,Telangana,3506,203,7072
3310,22/06/20,8:00 AM,Telangana,3731,210,7802
3346,23/06/20,8:00 AM,Telangana,4005,217,8674
3382,24/06/20,8:00 AM,Telangana,4224,220,9553
3418,25/06/20,8:00 AM,Telangana,4361,225,10444
3454,26/06/20,8:00 AM,Telangana,4688,230,11364
3490,27/06/20,8:00 AM,Telangana,4766,237,12349
3526,28/06/20,8:00 AM,Telangana,4928,243,13436
3562,29/06/20,8:00 AM,Telangana,5172,247,14419
3598,30/06/20,8:00 AM,Telangana,5582,253,15394
3634,1/7/2020,8:00 AM,Telangana,7294,260,16339
3670,2/7/2020,8:00 AM,Telangana,8082,267,17357
